"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-08-10T00:00:00.000Z""","USA","near Harrisburg International Airport, PA (MDT)","DHC-8-102","N815EX","Piedmont, opf. US Airways Express","USA","USA","Initial Climb","Accident","",true,true,true,"","ARVA",false,true,2,"Turboprop","","[]","UNK",2014
"""2014-08-13T00:00:00.000Z""","AUS","Varnarvon","BEECH 58","VH-SXS","Australia Unknown",,"AUS","Landing","Accident",0,true,false,"","None","BE58",false,true,2,"Piston","","[""ARC"",""SCF-NP""]","RS",2014
"""2014-08-13T00:00:00.000Z""","AUS","Warren","AIR TRACTOR AT802 A","VH-BQH"," ",,"AUS","Landing","Accident",0,true,true,"","None","AT8T",false,true,1,"Turboprop","","[""SCF-NP"",""RE""]","RS",2014
"""2014-08-13T00:00:00.000Z""","BRA"," Santos, SP","Cessna 560XLS+ Citation XLS+","PR-AFA","AF Andrade Empr. e Part.","","BRA","Approach","Accident",7,true,true,false,"Fatal","C56X",false,true,2,"Jet","","[]","CFIT",2014
"""2014-08-13T00:00:00.000Z""","","enroute","AT72","SE-MDA","Braathens Regional",,"SWE","","Accident","",true,true,"","","AT72",false,true,2,"Turboprop","","[]","",2014
"""2014-08-15T00:00:00.000Z""","GBR","Doncaster","BAE JETSTREAM3100 3100","G-GAVA","United Kingdom ","GBR","GBR","Landing","Accident","",true,true,true,"None","JS32",false,true,2,"Turboprop","","[""SCF-NP""]","SCF",2014
"""2014-08-17T00:00:00.000Z""","AUS","Doongmabulla","BEECH 55 95B55","VH-MLC"," ","","AUS","Taxi","Accident",0,true,false,"","None","BE95",false,true,2,"Piston","","[""SCF-NP""]","SCF",2014
"""2014-08-17T00:00:00.000Z""","","Dallas","MD82","N587AA","American",,"USA","","Accident","",true,true,"","","MD82",false,true,2,"Jet","","[]","",2014
"""2014-08-17T00:00:00.000Z""","GRC","Megara","PIPER PA31","G-IMEC","Greece ","","GBR","Landing","Accident",0,true,false,"","None","PA47",false,true,1,"Jet","","[""RE""]","RS",2014
"""2014-08-18T00:00:00.000Z""","","Charlotte","A332","N290AY","US Airways",,"USA","","Accident","",true,true,"","","A332",false,true,2,"Jet","","[]","",2014
